DATE,XACTOMXS30.ST_OPEN,XACTOMXS30.ST_CLOSE,XACTOMXS30.ST_HIGH,XACTOMXS30.ST_LOW,XACTOMXS30.ST_VWAP,XACTOMXS30.ST_TURNOVER
2013-05-31,123.85,123.1,123.85,122.25,,406222530
2013-06-03,121.95,122.15,123.4,121.5,,92363010
2013-06-04,122.75,121.95,122.9,121.9,,27935220
2013-06-05,121.4,119.45,121.55,119.45,,192622000
2013-06-07,119.5,120.55,121.0,118.75,,174201410
2013-06-10,120.55,120.7,120.8,120.1,,175682270
2013-06-11,120.7,119.45,120.7,119.05,,367649500
2013-06-12,119.5,118.9,120.4,118.85,,72215350
2013-06-13,117.6,118.25,118.5,116.7,,104409100
2013-06-14,119.2,119.0,119.65,118.55,,92900480
2013-06-17,119.2,120.3,120.75,119.2,,75162820
2013-06-18,119.6,120.55,120.95,119.45,,97710930
2013-06-19,120.4,118.65,120.4,118.65,,157855100
2013-06-20,117.5,114.85,117.5,114.8,,119247880
2013-06-24,115.4,112.1,115.4,112.1,,318782980
2013-06-25,113.05,114.1,114.4,112.95,,395133180
2013-06-26,114.1,115.55,115.9,114.1,,91225130
2013-06-27,115.8,117.25,117.5,115.55,,58287630
2013-06-28,117.5,116.4,117.75,116.05,,31158910
2013-07-01,116.9,117.7,117.75,116.2,,56877760
2013-07-02,117.7,117.35,117.7,116.55,,8997210
2013-07-03,116.35,116.45,116.5,115.5,,30092490
2013-07-04,117.2,118.7,118.95,117.1,,29919270
2013-07-05,118.7,117.95,119.75,117.6,,61203690
2013-07-08,118.55,119.2,119.8,118.55,,47784310
2013-07-09,119.9,120.5,120.55,119.65,,104517080
2013-07-10,120.35,120.8,120.8,119.75,,8648170
2013-07-11,122.2,122.2,122.3,121.7,,68208860
2013-07-12,122.6,122.2,122.85,122.2,,166693620
2013-07-15,123.0,122.65,123.35,122.55,,63986170
2013-07-16,123.0,122.3,123.15,122.3,,5705470
2013-07-17,122.75,122.6,123.0,121.8,,30074570
2013-07-18,122.05,122.75,123.15,121.95,,23181810
2013-07-19,123.0,123.0,123.1,122.0,,36385810
2013-07-22,123.35,122.4,123.6,122.2,,12925340
2013-07-23,123.05,122.95,123.4,122.95,,8411920
2013-07-24,123.25,124.15,124.5,123.25,,62884900
2013-07-25,124.0,124.25,124.25,123.4,,14234910
2013-07-26,124.65,123.8,124.8,123.75,,17280330
2013-07-29,124.0,123.7,124.7,123.7,,41889040
